id,commtime,cso9ft2,efact9,jobconst,manconst,childlt6,c3h17m,female,jobhome,age,commtime_m,commtime_f,cso9ft2_f,cso9ft2_m,efact9_f,efact9_m,jobconst_f,jobconst_m,manconst_f,manconst_m,childlt6_f,childlt6_m,c3h17m_f,c3h17m_m,female_f,female_m,jobhome_f,jobhome_m,age_f,age_m
698,35,-0.21414,-0.12043,0,0,1,1,1,1,0,35,0,-0.21414,0,-0.12043,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
703,31,-0.68661,0.2759,0,0,0,1,1,1,1,31,0,-0.68661,0,0.2759,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
704,35,0.50312,0.36374,0,0,0,1,1,1,1,35,0,0.50312,0,0.36374,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
706,20,0.91247,-0.13949,0,0,0,0,0,1,1,0,20,0,0.91247,0,-0.13949,0,0,0,0,0,0,0,0,0,0,0,1,0,1
711,60,-0.72941,0.25468,0,0,0,1,0,1,0,0,60,0,-0.72941,0,0.25468,0,0,0,0,0,0,0,1,0,0,0,1,0,0
715,60,-0.47189,-0.33863,1,1,0,0,0,0,1,0,60,0,-0.47189,0,-0.33863,0,1,0,1,0,0,0,0,0,0,0,0,0,1
722,110,0.34288,0.41862,1,0,0,0,0,0,1,0,110,0,0.34288,0,0.41862,0,1,0,0,0,0,0,0,0,0,0,0,0,1
727,95,-0.54678,-0.2411,0,1,0,1,0,1,1,0,95,0,-0.54678,0,-0.2411,0,0,0,1,0,0,0,1,0,0,0,1,0,1
750,60,0.20269,-1.46558,0,0,1,0,0,1,1,0,60,0,0.20269,0,-1.46558,0,0,0,0,0,1,0,0,0,0,0,1,0,1
757,30,0.79447,-1.46024,0,0,0,0,1,1,1,30,0,0.79447,0,-1.46024,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
758,35,-0.6404,0.44477,0,0,1,1,1,1,0,35,0,-0.6404,0,0.44477,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
761,30,1.03838,-1.59213,0,0,0,0,0,1,1,0,30,0,1.03838,0,-1.59213,0,0,0,0,0,0,0,0,0,0,0,1,0,1
764,35,2.03962,-1.43751,0,0,1,0,0,1,0,0,35,0,2.03962,0,-1.43751,0,0,0,0,0,1,0,0,0,0,0,1,0,0
